"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHOSIS_000002","PUBLISHED","2019","AFR","","MOZ","MLE","47.9","47.90213","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AFR","","MOZ","FMLE","52.8","52.75850","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AFR","","MOZ","BTSX","43.6","43.58357","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AFR","","MRT","MLE","54.8","54.80618","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AFR","","MRT","FMLE","54.0","54.01017","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AFR","","MRT","BTSX","54.4","54.35635","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AFR","","MUS","MLE","59.8","59.84175","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AFR","","MUS","FMLE","64.2","64.15681","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AFR","","MUS","BTSX","63.4","63.37393","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AFR","","MWI","MLE","48.3","48.29214","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AFR","","MWI","FMLE","50.9","50.92586","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AFR","","MWI","BTSX","49.6","49.59252","","","","",""
"WHOSIS_000002","PUBLISHED","2010","WPR","","MYS","MLE","64.3","64.27235","","","","",""
"WHOSIS_000002","PUBLISHED","2010","WPR","","MYS","FMLE","66.6","66.62944","","","","",""
"WHOSIS_000002","PUBLISHED","2015","WPR","","MYS","BTSX","65.8","65.78183","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AFR","","NAM","MLE","52.3","52.29404","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AFR","","NAM","FMLE","56.7","56.73470","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AFR","","NAM","BTSX","54.6","54.56502","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AFR","","NER","MLE","53.8","53.83920","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AFR","","NER","FMLE","54.5","54.49592","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AFR","","NER","FMLE","55.8","55.80838","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AFR","","NER","BTSX","55.5","55.52364","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AFR","","NGA","MLE","53.9","53.91457","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AFR","","NGA","FMLE","54.9","54.89429","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AFR","","NGA","BTSX","54.4","54.39335","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AMR","","NIC","MLE","63.7","63.65913","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AMR","","NIC","BTSX","63.7","63.69349","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EUR","","NLD","MLE","67.7","67.65968","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EUR","","NLD","FMLE","69.8","69.75141","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EUR","","NLD","BTSX","68.8","68.76655","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EUR","","NOR","MLE","67.0","67.00295","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EUR","","NOR","FMLE","69.8","69.81198","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EUR","","NOR","FMLE","71.0","71.02988","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EUR","","NOR","BTSX","70.2","70.17695","","","","",""
